train_dataset,test_dataset,pheno,num_train,num_test,pos_rate,sig_ground_truth,r_ground_truth
abcd,hbn,attn,3722,365,0.0404,0.0,-0.0094976197272978
abcd,hbn,attn,3722,488,0.0363,0.0,-0.0094976197272978
abcd,hbn,attn,3722,652,0.0388,0.0,-0.0094976197272978
abcd,hbn,attn,3722,872,0.0367,0.0,-0.0094976197272978
abcd,hbn,attn,3722,1150,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,4975,20,0.0514,0.0,-0.0094976197272978
abcd,hbn,attn,4975,27,0.0472,0.0,-0.0094976197272978
abcd,hbn,attn,4975,36,0.0406,0.0,-0.0094976197272978
abcd,hbn,attn,4975,48,0.0381,0.0,-0.0094976197272978
abcd,hbn,attn,4975,64,0.0453,0.0,-0.0094976197272978
abcd,hbn,attn,4975,85,0.0456,0.0,-0.0094976197272978
abcd,hbn,attn,4975,114,0.0347,0.0,-0.0094976197272978
abcd,hbn,attn,4975,153,0.0341,0.0,-0.0094976197272978
abcd,hbn,attn,4975,204,0.0314,0.0,-0.0094976197272978
abcd,hbn,attn,4975,273,0.0282,0.0,-0.0094976197272978
abcd,hbn,attn,4975,365,0.0253,0.0,-0.0094976197272978
abcd,hbn,attn,4975,488,0.0191,0.0,-0.0094976197272978
abcd,hbn,attn,4975,652,0.0173,0.0,-0.0094976197272978
abcd,hbn,attn,4975,872,0.0074,0.0,-0.0094976197272978
abcd,hbn,attn,4975,1150,0.0,0.0,-0.0094976197272978
abcd,hbn,mr,20,20,0.1287,1.0,0.2946997894590379
abcd,hbn,mr,20,27,0.1473,1.0,0.2946997894590379
abcd,hbn,mr,20,36,0.1781,1.0,0.2946997894590379
abcd,hbn,mr,20,48,0.2056,1.0,0.2946997894590379
abcd,hbn,mr,20,64,0.2342,1.0,0.2946997894590379
abcd,hbn,mr,20,85,0.2593,1.0,0.2946997894590379
abcd,hbn,mr,20,114,0.2964,1.0,0.2946997894590379
abcd,hbn,mr,20,153,0.3209,1.0,0.2946997894590379
abcd,hbn,mr,20,204,0.3479,1.0,0.2946997894590379
abcd,hbn,mr,20,273,0.3728,1.0,0.2946997894590379
abcd,hbn,mr,20,365,0.3926,1.0,0.2946997894590379
abcd,hbn,mr,20,488,0.4083,1.0,0.2946997894590379
abcd,hbn,mr,20,652,0.4195,1.0,0.2946997894590379
abcd,hbn,mr,20,872,0.4316,1.0,0.2946997894590379
abcd,hbn,mr,20,1024,0.44,1.0,0.2946997894590379
abcd,hbn,mr,27,20,0.15,1.0,0.2946997894590379
abcd,hbn,mr,27,27,0.1751,1.0,0.2946997894590379
abcd,hbn,mr,27,36,0.2097,1.0,0.2946997894590379
abcd,hbn,mr,27,48,0.2428,1.0,0.2946997894590379
abcd,hbn,mr,27,64,0.2753,1.0,0.2946997894590379
abcd,hbn,mr,27,85,0.3116,1.0,0.2946997894590379
abcd,hbn,mr,27,114,0.3437,1.0,0.2946997894590379
abcd,hbn,mr,27,153,0.3712,1.0,0.2946997894590379
abcd,hbn,mr,27,204,0.3909,1.0,0.2946997894590379
abcd,hbn,mr,27,273,0.4112,1.0,0.2946997894590379
abcd,hbn,mr,27,365,0.4243,1.0,0.2946997894590379
abcd,hbn,mr,27,488,0.4363,1.0,0.2946997894590379
abcd,hbn,mr,27,652,0.447,1.0,0.2946997894590379
abcd,hbn,mr,27,872,0.4655,1.0,0.2946997894590379
abcd,hbn,mr,27,1024,0.48,1.0,0.2946997894590379
abcd,hbn,mr,36,20,0.1411,1.0,0.2946997894590379
abcd,hbn,mr,36,27,0.168,1.0,0.2946997894590379
abcd,hbn,mr,36,36,0.199,1.0,0.2946997894590379
abcd,hbn,mr,36,48,0.2359,1.0,0.2946997894590379
abcd,hbn,mr,36,64,0.2708,1.0,0.2946997894590379
abcd,hbn,mr,36,85,0.3005,1.0,0.2946997894590379
abcd,hbn,mr,36,114,0.3425,1.0,0.2946997894590379
abcd,hbn,mr,36,153,0.3794,1.0,0.2946997894590379
abcd,hbn,mr,36,204,0.4038,1.0,0.2946997894590379
abcd,hbn,mr,36,273,0.4294,1.0,0.2946997894590379
abcd,hbn,mr,36,365,0.4541,1.0,0.2946997894590379
abcd,hbn,mr,36,488,0.4727,1.0,0.2946997894590379
abcd,hbn,mr,36,652,0.4873,1.0,0.2946997894590379
abcd,hbn,mr,36,872,0.5116,1.0,0.2946997894590379
abcd,hbn,mr,36,1024,0.53,1.0,0.2946997894590379
abcd,hbn,mr,48,20,0.1361,1.0,0.2946997894590379
abcd,hbn,mr,48,27,0.1619,1.0,0.2946997894590379
abcd,hbn,mr,48,36,0.1971,1.0,0.2946997894590379
abcd,hbn,mr,48,48,0.229,1.0,0.2946997894590379
abcd,hbn,mr,48,64,0.2654,1.0,0.2946997894590379
abcd,hbn,mr,48,85,0.3052,1.0,0.2946997894590379
abcd,hbn,mr,48,114,0.3455,1.0,0.2946997894590379
abcd,hbn,mr,48,153,0.3814,1.0,0.2946997894590379
abcd,hbn,mr,48,204,0.4097,1.0,0.2946997894590379
abcd,hbn,mr,48,273,0.4421,1.0,0.2946997894590379
abcd,hbn,mr,48,365,0.469,1.0,0.2946997894590379
abcd,hbn,mr,48,488,0.4912,1.0,0.2946997894590379
abcd,hbn,mr,48,652,0.5055,1.0,0.2946997894590379
abcd,hbn,mr,48,872,0.5127,1.0,0.2946997894590379
abcd,hbn,mr,48,1024,0.51,1.0,0.2946997894590379
abcd,hbn,mr,64,20,0.1495,1.0,0.2946997894590379
abcd,hbn,mr,64,27,0.1808,1.0,0.2946997894590379
abcd,hbn,mr,64,36,0.2163,1.0,0.2946997894590379
abcd,hbn,mr,64,48,0.2569,1.0,0.2946997894590379
abcd,hbn,mr,64,64,0.292,1.0,0.2946997894590379
abcd,hbn,mr,64,85,0.3321,1.0,0.2946997894590379
abcd,hbn,mr,64,114,0.3786,1.0,0.2946997894590379
abcd,hbn,mr,64,153,0.4206,1.0,0.2946997894590379
abcd,hbn,mr,64,204,0.4499,1.0,0.2946997894590379
abcd,hbn,mr,64,273,0.4783,1.0,0.2946997894590379
abcd,hbn,mr,64,365,0.5031,1.0,0.2946997894590379
abcd,hbn,mr,64,488,0.5208,1.0,0.2946997894590379
abcd,hbn,mr,64,652,0.5413,1.0,0.2946997894590379
abcd,hbn,mr,64,872,0.5529,1.0,0.2946997894590379
abcd,hbn,mr,64,1024,0.56,1.0,0.2946997894590379
abcd,hbn,mr,85,20,0.1566,1.0,0.2946997894590379
abcd,hbn,mr,85,27,0.1918,1.0,0.2946997894590379
abcd,hbn,mr,85,36,0.2293,1.0,0.2946997894590379
abcd,hbn,mr,85,48,0.2723,1.0,0.2946997894590379
abcd,hbn,mr,85,64,0.3192,1.0,0.2946997894590379
abcd,hbn,mr,85,85,0.3595,1.0,0.2946997894590379
abcd,hbn,mr,85,114,0.4095,1.0,0.2946997894590379
abcd,hbn,mr,85,153,0.4551,1.0,0.2946997894590379
abcd,hbn,mr,85,204,0.4893,1.0,0.2946997894590379
abcd,hbn,mr,85,273,0.5217,1.0,0.2946997894590379
abcd,hbn,mr,85,365,0.5475,1.0,0.2946997894590379
abcd,hbn,mr,85,488,0.5762,1.0,0.2946997894590379
abcd,hbn,mr,85,652,0.6017,1.0,0.2946997894590379
abcd,hbn,mr,85,872,0.6193,1.0,0.2946997894590379
abcd,hbn,mr,85,1024,0.62,1.0,0.2946997894590379
abcd,hbn,mr,114,20,0.1699,1.0,0.2946997894590379
abcd,hbn,mr,114,27,0.2053,1.0,0.2946997894590379
abcd,hbn,mr,114,36,0.2441,1.0,0.2946997894590379
abcd,hbn,mr,114,48,0.29,1.0,0.2946997894590379
abcd,hbn,mr,114,64,0.3398,1.0,0.2946997894590379
abcd,hbn,mr,114,85,0.3873,1.0,0.2946997894590379
abcd,hbn,mr,114,114,0.4383,1.0,0.2946997894590379
abcd,hbn,mr,114,153,0.4845,1.0,0.2946997894590379
abcd,hbn,mr,114,204,0.5228,1.0,0.2946997894590379
abcd,hbn,mr,114,273,0.5608,1.0,0.2946997894590379
abcd,hbn,mr,114,365,0.5939,1.0,0.2946997894590379
abcd,hbn,mr,114,488,0.6148,1.0,0.2946997894590379
abcd,hbn,mr,114,652,0.6354,1.0,0.2946997894590379
abcd,hbn,mr,114,872,0.6548,1.0,0.2946997894590379
abcd,hbn,mr,114,1024,0.66,1.0,0.2946997894590379
abcd,hbn,mr,153,20,0.1882,1.0,0.2946997894590379
